DAILY_TMIN,DAILY_TMAX,DAILY_PREC,Code,Name,Comune,Provincia,Regione,Row,Col,Lat (WGS84),Lon (WGS84),X (WGS84 UTM32N),Y (WGS84 UTM32N),Height
6.226115812178531,13.327833084453294,5.162186825949892,1150,ORSIGNA,GRANAGLIONE,BOLOGNA,EMILIA-ROMAGNA,10,28,"44,09250","10,898925",652009,4883900,"1058,0"
8.801343952215031,17.029641612742658,2.3718433714949394,1304,MEDELANA,MONTE SAN PIETRO,BOLOGNA,EMILIA-ROMAGNA,16,32,"44,36250","11,151125",671412,4914387,"526,6"
10.138003982080637,18.974547867927658,2.2407084785133566,1344,MARZABOTTO NORD,MARZABOTTO,BOLOGNA,EMILIA-ROMAGNA,16,33,"44,36250","11,214175",676436,4914521,"273,4"
10.197710303633649,18.89597643935623,2.2522482163597144,1384,BADOLO,SASSO MARCONI,BOLOGNA,EMILIA-ROMAGNA,16,34,"44,36250","11,277225",681460,4914658,"293,0"
9.597967479674796,18.68780487804878,2.5149493943919032,1385,VADO,MONZUNO,BOLOGNA,EMILIA-ROMAGNA,15,34,"44,31750","11,277225",681599,4909660,"335,6"
8.812800730048117,17.4392649742824,2.747784967645595,1386,MONZUNO,MONZUNO,BOLOGNA,EMILIA-ROMAGNA,14,34,"44,27250","11,277225",681738,4904662,"550,9"
10.088003982080638,18.828778828604612,2.320988883358221,1424,PIANORO,PIANORO,BOLOGNA,EMILIA-ROMAGNA,16,35,"44,36250","11,340275",686485,4914800,"272,1"
9.343147502903602,18.159233449477355,2.4598473535755767,1425,LIVERGNANO,PIANORO,BOLOGNA,EMILIA-ROMAGNA,15,35,"44,31750","11,340275",686627,4909802,"410,2"
7.85993031358885,16.03142525302804,2.520350091256015,1224,ZOCCA NORD EST,SAVIGNO,BOLOGNA,EMILIA-ROMAGNA,16,30,"44,36250","11,025025",661364,4914131,"593,7"
8.326630164260827,16.503633648581385,2.4832005973120954,1264,MONTEPASTORE,SAVIGNO,BOLOGNA,EMILIA-ROMAGNA,16,31,"44,36250","11,088075",666388,4914257,"534,4"
6.655856976937116,14.352721088435375,5.107723577235772,1151,PRACCHIA,PISTOIA,PISTOIA,TOSCANA,9,28,"44,04750","10,898925",652124,4878902,"831,3"
